Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,19608.7943945553
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,112696.649059674
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,81967.699172769
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,6718.85826635458
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,499.818837622534
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,580.889816066776
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,10920.191763972
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,11740.2724029785
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,971.949318638092
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,32421.9179753188
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,5292.33985502306
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1767.072710621
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,11403.2527870674
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,10369.5553585271
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3572.65918282222
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,4405.33418162155
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,193746.785647412
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,4347.54610314873
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,8842.48528706869
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3508.09765625
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,519.09255091362
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1425.98954211903
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4731.9210318831
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,10776.8284610316
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1203.14294706401
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,53554.9007491475
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,33411.3358835672
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,42779.2298164101
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1958.62051528095
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,561.691304349698
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2265.15520863056
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,24496.6652122421
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,76430.5889473338
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,19180.1864152801
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1390.41690981745
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,15841.1956399595
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,16477.9066285687
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2575.77274140393
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5821.18199548637
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,7037.00803692604
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3400.78949767074
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,15874.5220531254
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,23343.3628970034
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico (US),PRI,31830.5284993358
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,66841.3013484919
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,12992.0326104674
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,11447.701171875
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,810.051412137354
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4351.94234943706
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,46627.0122356944
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1935.2931816596
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,29566.7933827436
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1431.18128932159
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,7755.632986437
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,19141.5118743615
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,844.049555179116
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,65952.0378959293
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,34861.469528968
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,19406.0589683582
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,25814.1687167572
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2223.66502559565
GDP per capita (current US$),NY.GDP.PCAP.CD,"Somalia, Fed. Rep.",SOM,539.893931565407
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6533.71121032856
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29786.5245689007
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,4081.94772722003
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,23595.4923231291
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,11794.0597229805
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,19033.0594854512
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,8740.59425232061
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,709.975280761719
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,6629.66775248603
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3913.12643969301
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51773.0464558993
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,84121.9310304414
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,1109.53926036049
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,871.022372934846
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1063.32250976563
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7605.69657797759
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1562.36458068032
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,826.260654099894
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,4676.84802517145
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,17293.4730123427
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3528.87213306798
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,9215.44049888114
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,6648.0348960628
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,31780.5217068989
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,5115.13075950206
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,822.171150141651
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3619.86157226563
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,44251.4541398817
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42794.0022648288
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,65227.9565911038
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,18315.7316980028
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,2041.38480729431
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,3207.44650452083
GDP per capita (current US$),NY.GDP.PCAP.CD,Viet Nam,VNM,3440.90025375434
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,38633.5298915336
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3656.85827137011
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1258.98619844462
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1683.91313584141
